종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
294870,HDC현대산업개발,KOSPI,건설업,17670,1100,6.64,1164582521100
12330,현대모비스,KOSPI,운수장비,243500,5000,2.1,22805015389000
100,유한양행,KOSPI,의약품,72300,-900,-1.23,5799115327200
5940,NH투자증권,KOSPI,증권,11720,50,0.43,3887124594120
23530,롯데쇼핑,KOSPI,유통업,66800,-800,-1.18,1889688834000
207940,삼성바이오로직스,KOSPI,의약품,790000,-1000,-0.13,56227460000000
9540,HD한국조선해양,KOSPI,기타금융,129400,4100,3.27,9158041210400
640,동아쏘시오홀딩스,KOSPI,기타금융,114400,400,0.35,726315647200
175330,JB금융지주,KOSPI,기타금융,12960,-60,-0.46,2528278246080
66570,LG전자,KOSPI,전기전자,92200,-600,-0.65,15088328450800
1230,동국홀딩스,KOSPI,철강금속,8290,0,0.0,263626004070
1230,동국홀딩스,KOSPI,철강금속,8290,0,0.0,263626004070
28670,팬오션,KOSPI,운수창고업,4115,-45,-1.08,2199753541880
1510,SK증권,KOSPI,증권,598,2,0.34,282608922258
69960,현대백화점,KOSPI,유통업,50300,0,0.0,1177142782300
24110,기업은행,KOSPI,은행,13590,-110,-0.8,10837017559710
57050,현대홈쇼핑,KOSPI,유통업,51500,-3300,-6.02,618000000000
57050,현대홈쇼핑,KOSPI,유통업,51500,-3300,-6.02,618000000000
272210,한화시스템,KOSPI,전기전자,18110,190,1.06,3421330134790
64350,현대로템,KOSPI,운수장비,41150,250,0.61,4491205356950
64350,현대로템,KOSPI,운수장비,41150,250,0.61,4491205356950
4490,세방전지,KOSPI,전기전자,94200,-700,-0.74,1318800000000
1630,종근당홀딩스,KOSPI,의약품,62300,300,0.48,312114340300
1630,종근당홀딩스,KOSPI,의약품,62300,300,0.48,312114340300
115390,락앤락,KOSPI,화학,8680,0,0.0,376073247480
375500,DL이앤씨,KOSPI,건설업,34800,-100,-0.29,1346538080400
86280,현대글로비스,KOSPI,운수창고업,178000,1000,0.56,6675000000000
86280,현대글로비스,KOSPI,운수창고업,178000,1000,0.56,6675000000000
306200,세아제강,KOSPI,철강금속,135600,-300,-0.22,384602280000
3850,보령,KOSPI,의약품,10910,-200,-1.8,749407900000
51600,한전KPS,KOSPI,건설업,34300,100,0.29,1543500000000
32830,삼성생명,KOSPI,보험,85400,-700,-0.81,17080000000000
204320,HL만도,KOSPI,운수장비,32800,-50,-0.15,1540193536000
3300,한일홀딩스,KOSPI,비금속광물,12470,-90,-0.72,384486063480
88350,한화생명,KOSPI,보험,2870,45,1.59,2492681100000
9830,한화솔루션,KOSPI,화학,24650,100,0.41,4237151012400
6390,한일현대시멘트,KOSPI,비금속광물,14850,-60,-0.4,287015929200
34730,SK,KOSPI,기타금융,162000,1300,0.81,11858129298000
86790,하나금융지주,KOSPI,기타금융,56500,-1100,-1.91,16518147787000
270,기아,KOSPI,운수장비,116200,300,0.26,46717536388600
286940,롯데이노베이트,KOSPI,서비스업,32300,1050,3.36,497301491300
377300,카카오페이,KOSPI,기타금융,34100,250,0.74,4585427613800
377300,카카오페이,KOSPI,기타금융,34100,250,0.74,4585427613800
17940,E1,KOSPI,유통업,67400,200,0.3,462364000000
16360,삼성증권,KOSPI,증권,37250,-150,-0.4,3326425000000
139480,이마트,KOSPI,유통업,63000,0,0.0,1756176597000
69620,대웅제약,KOSPI,의약품,111600,-700,-0.62,1293061770000
34020,두산에너빌리티,KOSPI,기계,15770,230,1.48,10101649272420
11170,롯데케미칼,KOSPI,화학,100100,1400,1.42,4281819441900
10130,고려아연,KOSPI,철강금속,455500,-6000,-1.3,9523861834000
300720,한일시멘트,KOSPI,비금속광물,12590,-210,-1.64,872002788600
58650,세아홀딩스,KOSPI,철강금속,108600,600,0.56,434400000000
298000,효성화학,KOSPI,화학,57400,700,1.23,217649951400
4990,롯데지주,KOSPI,기타금융,26500,-300,-1.12,2780094780500
267260,HD현대일렉트릭,KOSPI,전기전자,255000,15000,6.25,9192019425000
1740,SK네트웍스,KOSPI,유통업,5540,-20,-0.36,1225879577080
5930,삼성전자,KOSPI,전기전자,78600,3100,4.11,469224908430000
9440,KC그린홀딩스,KOSPI,기타금융,2405,5,0.21,53956126900
